name,city
Saddar,Karachi
Clifton,Karachi
DHA,Karachi
Gulshan-e-Iqbal,Karachi
Gulistan-e-Jauhar,Karachi
North Nazimabad,Karachi
Malir,Karachi
Korangi,Karachi
Lyari,Karachi
Kemari,Karachi
Orangi Town,Karachi
Landhi,Karachi
Baldia Town,Karachi
SITE,Karachi
Federal B Area,Karachi
Gulberg,Karachi
Johar Town,Karachi
Tariq Road,Karachi
Shahrah-e-Faisal,Karachi
Defence View,Karachi
Bahadurabad,Karachi
Latifabad,Hyderabad
Qasimabad,Hyderabad
City Area,Hyderabad
Cantonment,Hyderabad
Kohsar,Hyderabad
Airport Road,Sukkur
Civil Hospital Area,Sukkur
Minara Road,Sukkur
Station Road,Sukkur
Jinnah Town,Larkana
Civil Lines,Larkana
Station Road,Larkana
Bunder Road,Larkana
Sakrand,Nawabshah
Daur,Nawabshah
Qazi Ahmed,Nawabshah
City Area,Mirpur Khas
Shah Hussain Colony,Mirpur Khas
Satellite Town,Mirpur Khas
Makli,Thatta
Shah Jahan Mosque Area,Thatta
Lakhi,Shikarpur
Khanpur,Shikarpur
City Area,Jacobabad
Garhi Khairo,Jacobabad
Mehar,Dadu
Johi,Dadu
KN Shah,Dadu
Site Area,Kotri
Railway Colony,Kotri
Model Town,Lahore
Gulberg,Lahore
DHA,Lahore
Johar Town,Lahore
Allama Iqbal Town,Lahore
Garden Town,Lahore
Cantt,Lahore
Township,Lahore
Iqbal Town,Lahore
Faisal Town,Lahore
Shalimar,Lahore
Anarkali,Lahore
Mall Road,Lahore
Liberty Market,Lahore
Bahria Town,Lahore
Wapda Town,Lahore
Shadman,Lahore
Samanabad,Lahore
People's Colony,Faisalabad
Madina Town,Faisalabad
Jinnah Colony,Faisalabad
D Ground,Faisalabad
Susan Road,Faisalabad
Ghulam Muhammad Abad,Faisalabad
Allama Iqbal Colony,Faisalabad
Satellite Town,Rawalpindi
Saddar,Rawalpindi
Chaklala,Rawalpindi
Committee Chowk,Rawalpindi
Raja Bazaar,Rawalpindi
Bahria Town,Rawalpindi
DHA,Rawalpindi
Westridge,Rawalpindi
Cantt,Multan
Gulgasht Colony,Multan
Shah Rukn-e-Alam Colony,Multan
Mumtazabad,Multan
New Multan,Multan
Bosan Road,Multan
Model Town,Gujranwala
Satellite Town,Gujranwala
Civil Lines,Gujranwala
Peoples Colony,Gujranwala
Jinnah Road,Gujranwala
Cantt,Sialkot
Allama Iqbal Town,Sialkot
Paris Road,Sialkot
Kutchery Road,Sialkot
Model Town,Bahawalpur
Satellite Town,Bahawalpur
Cantt,Bahawalpur
Farid Gate,Bahawalpur
University Town,Sargodha
Satellite Town,Sargodha
Civil Lines,Sargodha
Cantt,Sahiwal
City Area,Sahiwal
Farid Town,Sahiwal
Satellite Town,Jhang
Civil Lines,Jhang
City Area,Jhang
Cantt,Quetta
Satellite Town,Quetta
Jinnah Town,Quetta
Brewery Road,Quetta
Shahbaz Town,Quetta
Samungli Road,Quetta
Baleli,Quetta
City Area,Turbat
Airport Road,Turbat
Shahi Tump,Turbat
Hub Chowki,Khuzdar
Wadh,Khuzdar
City Area,Khuzdar
Sangar,Gwadar
Marine Drive,Gwadar
New Town,Gwadar
Mach,Bolan
Dozan,Bolan
Sui,Dera Bugti
Pirkoh,Dera Bugti
Saddar,Peshawar
University Town,Peshawar
Hayatabad,Peshawar
Cantt,Peshawar
Dalazak Road,Peshawar
Board Bazaar,Peshawar
Takht Bhai,Mardan
Sheikh Maltoon Town,Mardan
City Area,Mardan
Mingora,Swat
Saidu Sharif,Swat
Khwazakhela,Swat
Mandian,Abbottabad
Cantt,Abbottabad
Jinnahabad,Abbottabad
KTS,Kohat
Cantt,Kohat
City Area,Kohat
Domel,Bannu
Cantt,Bannu
Township,Bannu
Cantt,Dera Ismail Khan
Circular Road,Dera Ismail Khan
City Area,Dera Ismail Khan
Jutial,Gilgit
Konodas,Gilgit
City Area,Gilgit
Karimabad,Hunza
Aliabad,Hunza
Ganish,Hunza
Kharpocho,Skardu
Sadpara,Skardu
City Area,Skardu